m1_surv,m2_surv
0.33504,0.90174
0.33504,0.90139
0.33504,0.90139
0.33504,0.90139
0.33504,0.90139
0.33504,0.90139
0.33504,0.90139
0.33504,0.90139
0.33424,0.90139
0.33424,0.90139
0.33357,0.90104
0.33357,0.90104
0.33357,0.90069
0.33285,0.90069
0.33285,0.90069
0.33285,0.90069
0.33187,0.90034
0.33187,0.90034
0.33187,0.90034
0.33187,0.90034
0.33187,0.90034
0.33187,0.90034
0.33187,0.89998
0.33187,0.89963
0.33187,0.89963
0.33187,0.89963
0.33187,0.89963
0.33187,0.89963
0.33187,0.89963
0.33187,0.89963
0.33187,0.89927
0.33187,0.89927
0.33187,0.89818
0.33187,0.89818
0.33187,0.89818
0.33187,0.89818
0.33187,0.89818
0.33187,0.89818
0.33187,0.89818
0.33187,0.89818
0.33187,0.89818
0.33187,0.89818
0.33187,0.89781
0.33187,0.89781
0.33187,0.89781
0.33187,0.89781
0.33187,0.89781
0.33187,0.89781
0.33187,0.89781
0.33187,0.89781
0.33187,0.89744
0.33187,0.89744
0.33187,0.89744
0.33187,0.89744
0.33187,0.89744
0.33187,0.89744
0.33187,0.89744
0.33187,0.89744
0.33187,0.89744
0.33187,0.89744
0.33187,0.89744
0.33187,0.89744
0.33187,0.89744
0.3287,0.89744
0.3287,0.89744
0.3287,0.89744
0.3287,0.89744
0.3287,0.89744
0.3287,0.89744
0.3287,0.89706
0.3287,0.89706
0.3287,0.89706
0.3287,0.89706
0.3287,0.89706
0.3287,0.89706
0.3287,0.89706
0.3287,0.89706
0.32479,0.89706
0.32193,0.89668
0.32005,0.89668
0.32005,0.89668
0.32005,0.89668
0.32005,0.89668
0.32005,0.89668
0.32005,0.89668
0.32005,0.89668
0.32005,0.89668
0.32005,0.89668
0.32005,0.89668
0.32005,0.89668
0.32005,0.89668
0.32005,0.89668
0.31828,0.89668
0.31593,0.89668
0.31593,0.89668
0.31593,0.89668
0.31593,0.89668
0.31593,0.89629
0.31466,0.89629
0.31466,0.89629
0.31466,0.89629
0.31466,0.89629
0.31198,0.89629
0.31198,0.8959
0.31198,0.8959
0.31198,0.8959
0.31198,0.8959
0.31113,0.8959
0.31113,0.8959
0.31113,0.89551
0.31113,0.89551
0.30953,0.89551
0.30953,0.89512
0.30953,0.89512
0.30953,0.89472
0.30953,0.89472
0.30953,0.89472
0.30953,0.89433
0.30953,0.89433
0.30953,0.89433
0.30953,0.89433
0.30953,0.89433
0.30953,0.89433
0.30953,0.89433
0.30953,0.89433
0.30953,0.89355
