m1_surv,m2_surv
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.67939,0.91921
0.66759,0.91921
0.66759,0.91921
0.66759,0.91921
0.66759,0.91921
0.66759,0.91921
0.66759,0.91921
0.66759,0.91921
0.66759,0.91921
0.66759,0.91921
0.66759,0.91921
0.66759,0.91921
0.66759,0.91921
0.66759,0.91921
0.66759,0.91921
0.66759,0.91921
0.66759,0.91921
0.66759,0.91921
0.66759,0.91921
0.66759,0.91921
0.66759,0.91921
0.66759,0.91921
0.66759,0.91921
0.66759,0.91921
0.66759,0.91921
0.66006,0.91921
0.66006,0.91921
0.66006,0.91921
0.66006,0.91921
0.66006,0.91921
0.66006,0.91921
0.66006,0.91921
0.66006,0.91921
0.66006,0.91921
0.66006,0.91921
0.66006,0.91921
0.63853,0.91921
0.63853,0.91921
0.63853,0.91921
0.63853,0.91921
0.63853,0.91921
0.63853,0.91921
0.63853,0.91921
0.63853,0.91745
0.63853,0.91745
0.63853,0.91745
0.63853,0.91745
0.63853,0.91745
0.63853,0.91745
0.63853,0.91745
0.63853,0.91745
0.63853,0.91745
0.63853,0.91745
0.63853,0.91745
0.63853,0.91745
0.63853,0.91745
0.63853,0.91745
0.63853,0.91745
0.63853,0.91745
0.63853,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62979,0.91745
0.62394,0.91745
0.62394,0.91745
0.62394,0.91745
0.62394,0.91745
0.62394,0.91745
0.62394,0.91745
0.62394,0.91745
0.62394,0.91745
0.62394,0.91745
0.60374,0.91745
0.60374,0.91745
0.60374,0.91745
0.60374,0.91745
0.60374,0.91745
0.60374,0.91745
0.60374,0.91745
0.60374,0.91745
0.60374,0.91745
0.60374,0.91745
0.60374,0.91745
0.60374,0.91745
0.60374,0.91745
0.60374,0.91745
0.60374,0.91745
0.55516,0.91745
0.55516,0.91745
0.55516,0.91745
0.55516,0.91745
0.55516,0.91745
0.55516,0.91745
0.55516,0.91745
0.55516,0.91745
0.55516,0.91745
0.55516,0.91745
0.55516,0.91745
0.55516,0.91745
0.55516,0.91745
0.55516,0.91745
0.55516,0.91745
0.55516,0.91745
0.55516,0.91745
0.55516,0.91745
0.55516,0.91745
0.55516,0.91745
0.55516,0.91745
0.55516,0.91534
0.55516,0.91534
0.55516,0.91534
0.55516,0.91534
0.55516,0.91534
0.55516,0.91534
0.55516,0.91319
0.55516,0.91319
0.55516,0.91319
0.55516,0.91319
0.55516,0.91319
0.46236,0.91319
0.46236,0.91319
0.46236,0.91319
0.46236,0.91319
0.45279,0.91319
0.45279,0.91319
0.45279,0.91319
0.45279,0.91319
0.45279,0.91319
0.45279,0.91319
0.45279,0.91319
0.45279,0.91319
0.45279,0.91319
0.45279,0.91319
0.45279,0.91319
0.45279,0.91319
0.45279,0.91319
0.45279,0.91319
0.45279,0.91319
0.45279,0.91319
0.45279,0.91319
0.45279,0.91319
0.45279,0.91319
0.45279,0.91319
0.45279,0.91319
0.45279,0.91319
0.45279,0.91319
0.45279,0.91319
0.45279,0.91319
0.45279,0.91319
0.45279,0.91319
0.45279,0.91319
0.45279,0.91319
